Pattern;K;N;Banned
<K>;wa;n;ae
<KK>;wi;;ai
<KKK>;we;;ao
<KKKK>;wo;;au
<KKK>;ra;;ea
<KKKK>;ri;;ei
<KK>;ru;;eo
<KKK>;re;;eu
<KKKK>;ro;;ia
<KKK>;ya;;ie
<KKKK>;yu;;io
<KNK>;yo;;iu
<KNKK>;ma;;oa
<KNKKK>;mi;;oi
<KNKK>;mu;;ou
<KNKKK>;me;;ua
<KKN>;mo;;ue
<KKNK>;ha;;ui
<KKNKK>;hi;;
<KKNK>;fu;;
<KKNKK>;he;;
<KKN>;ho;;
<KKKN>;na;;
<KKKNK>;ni;;
<KKKN>;nu;;
<KKKNK>;ne;;
<KNK>;no;;
<KNKK>;ta;;
<KNKKK>;chi;;
<KNKK>;tsu;;
<KKKKN>;te;;
<K>;to;;
<KK>;sa;;
<KKK>;shi;;
<KKKK>;su;;
<KKK>;se;;
<KKKK>;so;;
<KK>;ka;;
<KKK>;ki;;
<KKKK>;ku;;
<KKK>;ke;;
<KKKK>;ko;;
;a;;
;i;;
;u;;
;e;;
;o;;
